Sl no.	District Name	Market Name	Commodity	Variety	Grade	Min Price (Rs./Quintal)	Max Price (Rs./Quintal)	Modal Price (Rs./Quintal)	Price Date
1	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	4210	4100	22-01-2020
2	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4215	4300	4257	23-01-2020
3	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3000	3000	3000	25-01-2020
4	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4235	4235	4235	27-01-2020
5	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3100	3100	3100	28-01-2020
6	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3100	3100	3100	29-01-2020
7	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3750	3750	3750	31-01-2020
8	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3800	4300	3950	07-02-2020
9	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4201	4301	4301	08-02-2020
10	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3855	3855	3855	10-02-2020
11	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4175	4175	4175	10-02-2020
12	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4098	4098	4098	11-02-2020
13	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3910	4150	4030	12-02-2020
14	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4200	4200	13-02-2020
15	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4151	4501	4425	13-02-2020
16	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3975	3975	3975	13-02-2020
17	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4326	4741	4741	13-02-2020
18	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4601	4801	4601	14-02-2020
19	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4541	4861	4861	14-02-2020
20	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4326	4741	4741	14-02-2020
21	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4400	4600	4575	15-02-2020
22	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3900	4200	4120	17-02-2020
23	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	4000	4000	18-02-2020
24	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3980	4205	4150	18-02-2020
25	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4800	4950	4900	19-02-2020
26	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3575	4800	4250	19-02-2020
27	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3720	3800	3780	19-02-2020
28	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3985	4100	4042	20-02-2020
29	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4395	4855	4489	20-02-2020
30	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3905	4700	4050	22-02-2020
31	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3900	4050	3975	23-02-2020
32	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3550	4553	4500	24-02-2020
33	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3800	4501	4501	24-02-2020
34	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4530	4621	4551	25-02-2020
35	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3816	4055	4055	25-02-2020
36	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3401	4660	4631	26-02-2020
37	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4220	4220	26-02-2020
38	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3155	4205	4205	26-02-2020
39	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3690	3710	3700	27-02-2020
40	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3615	4670	4619	27-02-2020
41	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4300	4501	4355	27-02-2020
42	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3200	4620	4500	28-02-2020
43	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4355	4355	4355	28-02-2020
44	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4585	4300	28-02-2020
45	Umariya	Umariya	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3900	4000	3950	28-02-2020
46	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2600	4691	4600	29-02-2020
47	Umariya	Umariya	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3900	4000	3950	29-02-2020
48	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4250	4500	4400	05-03-2020
49	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3900	4540	4490	09-03-2020
50	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	4200	4180	09-03-2020
51	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3900	4550	4400	12-03-2020
52	Sagar	Jaisinagar	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4000	4200	4100	12-03-2020
53	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3550	3550	3550	12-03-2020
54	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4300	4250	12-03-2020
55	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3300	4425	4275	13-03-2020
56	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4210	4320	4280	13-03-2020
57	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2225	4309	4171	16-03-2020
58	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3701	3701	3701	16-03-2020
59	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3850	3850	3850	16-03-2020
60	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3805	3805	3805	17-03-2020
61	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4107	4476	4431	17-03-2020
62	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3201	4800	4690	18-03-2020
63	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4380	4380	4380	18-03-2020
64	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4200	4200	19-03-2020
65	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3825	5050	4900	19-03-2020
66	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4395	4395	4395	19-03-2020
67	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3000	4800	4660	20-03-2020
68	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3055	3055	3055	20-03-2020
69	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3000	4800	4660	21-03-2020
70	Umariya	Umariya	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4300	4400	4350	16-06-2020
71	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3620	4810	4120	17-06-2020
72	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3901	4850	4400	19-06-2020
73	Umariya	Umariya	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4205	4202	19-06-2020
74	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4600	5200	4825	20-06-2020
75	Morena	Porsa	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4020	4415	4350	20-06-2020
76	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4181	4181	4181	22-06-2020
77	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3500	4801	4500	23-06-2020
78	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3401	4850	4500	24-06-2020
79	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3450	3500	3470	24-06-2020
80	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4352	4801	4600	25-06-2020
81	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3600	4600	4300	26-06-2020
82	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3600	4600	4300	27-06-2020
83	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3600	4600	4300	28-06-2020
84	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3901	4550	4350	29-06-2020
85	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4900	4900	4900	29-06-2020
86	Morena	Porsa	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4020	4340	4330	29-06-2020
87	Umariya	Umariya	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4300	4250	29-06-2020
88	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2800	3845	2800	30-06-2020
89	Betul	Betul	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3400	5000	4426	30-06-2020
90	Vidisha	Vidisha	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4811	5201	5100	16-11-2020
91	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	6200	6350	6275	15-Mar-21
92	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	6250	6310	6305	09-Mar-21
93	Chhindwara	Amarwda	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	6200	6300	6250	28-Feb-21
94	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5600	6000	5800	30-Jun-21
95	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5090	5090	5090	26-Jun-21
96	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5965	5965	5965	25-Jun-21
97	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5965	5965	5965	08-Jun-21
98	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5965	5965	5965	07-Jun-21
99	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4400	4400	4400	17-Mar-21
100	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4400	4400	4400	15-Mar-21
101	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5140	5400	5280	08-Mar-21
102	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5140	5460	5280	06-Mar-21
103	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5250	5250	5250	21-Feb-21
104	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5250	5250	5250	20-Feb-21
105	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5250	5250	5250	19-Feb-21
106	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5160	5160	5160	18-Feb-21
107	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5120	5120	5120	17-Feb-21
108	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5250	5250	5250	16-Feb-21
109	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3900	5600	4305	15-Feb-21
110	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4150	4150	4150	24-Jan-21
111	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4150	4150	4150	23-Jan-21
112	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4300	4200	22-Jan-21
113	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4300	4200	21-Jan-21
114	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4160	4160	4160	20-Jan-21
115	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4975	4975	4975	19-Jan-21
116	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4975	4975	4975	18-Jan-21
117	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4300	4200	17-Jan-21
118	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4200	4300	4200	16-Jan-21
119	Bhopal	Berasia	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5000	5000	15-Jan-21
120	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5250	5250	19-Mar-21
121	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5411	5411	5411	28-Jan-21
122	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1050	1275	1235	27-Jan-21
123	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5300	5451	5451	25-Jan-21
124	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5300	5300	5300	22-Jan-21
125	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5400	5424	5400	18-Jan-21
126	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5000	5000	15-Jan-21
127	Betul	Bhensdehi	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5001	5001	5001	12-Jan-21
128	Mandla	Bichhiya	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5500	5500	5500	02-Mar-21
129	Mandla	Bichhiya	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5500	5500	5500	13-Feb-21
130	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4199	5076	4800	30-Jun-21
131	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4350	5501	4701	29-Jun-21
132	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4299	5901	5700	28-Jun-21
133	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	2500	6249	5385	25-Jun-21
134	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4689	6151	5376	24-Jun-21
135	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4900	5970	5201	23-Jun-21
136	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5499	5950	5600	22-Jun-21
137	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4840	6301	5300	21-Jun-21
138	Chhindwara	Chhindwara	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3680	5601	4700	18-Jun-21
139	Indore	Gautampura	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5000	5200	5000	14-Jun-21
140	Indore	Gautampura	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	1630	1750	1700	16-Feb-21
141	Chhatarpur	LavKush Nagar(Laundi)	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	6000	6000	6000	23-Jun-21
142	Chhatarpur	LavKush Nagar(Laundi)	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5450	5450	5450	11-Jun-21
143	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5401	5401	5401	26-Mar-21
144	Raisen	Obedullaganj	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5290	5290	5290	18-Mar-21
145	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4805	4805	4805	30-Jun-21
146	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5080	5080	5080	29-Jun-21
147	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3900	3900	3900	09-Jun-21
148	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4800	5350	5330	24-Mar-21
149	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5895	5895	5895	23-Mar-21
150	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5965	5980	5980	17-Mar-21
151	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5600	5600	5600	16-Mar-21
152	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4505	6070	6070	15-Mar-21
153	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	3990	6096	6096	06-Mar-21
154	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	6230	6230	6230	05-Mar-21
155	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	6250	6530	6460	24-Feb-21
156	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	6250	6530	6460	23-Feb-21
157	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5605	5980	5830	22-Feb-21
158	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5800	6445	6280	17-Feb-21
159	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	5996	5996	5996	16-Feb-21
160	Khargone	Sanawad	Arhar Dal(Tur Dal)	Arhar Dal(Tur)	FAQ	4500	6620	6015	15-Feb-21
